tensor(0.3671381176, grad_fn=<DivBackward0>)
tensor(0.3251285255, grad_fn=<DivBackward0>)
tensor(0.3268806636, grad_fn=<DivBackward0>)
tensor(0.3286589682, grad_fn=<DivBackward0>)
tensor(0.3276826441, grad_fn=<DivBackward0>)
tensor(0.3292810917, grad_fn=<DivBackward0>)
tensor(0.3290422857, grad_fn=<DivBackward0>)
tensor(0.3296041489, grad_fn=<DivBackward0>)
tensor(0.3294524252, grad_fn=<DivBackward0>)
tensor(0.3296639323, grad_fn=<DivBackward0>)
tensor(0.3290410638, grad_fn=<DivBackward0>)
tensor(0.3291271627, grad_fn=<DivBackward0>)
tensor(0.3292384744, grad_fn=<DivBackward0>)
tensor(0.3293318748, grad_fn=<DivBackward0>)
tensor(0.3292927742, grad_fn=<DivBackward0>)
tensor(0.3291606307, grad_fn=<DivBackward0>)
tensor(0.3294772506, grad_fn=<DivBackward0>)
tensor(0.3288900554, grad_fn=<DivBackward0>)
tensor(0.3287309408, grad_fn=<DivBackward0>)
tensor(0.3286573589, grad_fn=<DivBackward0>)
tensor(0.3284008801, grad_fn=<DivBackward0>)
tensor(0.3282412291, grad_fn=<DivBackward0>)
tensor(0.3278674185, grad_fn=<DivBackward0>)
tensor(0.3272645473, grad_fn=<DivBackward0>)
tensor(0.3272177577, grad_fn=<DivBackward0>)
tensor(0.3282157183, grad_fn=<DivBackward0>)
tensor(0.3278010190, grad_fn=<DivBackward0>)
tensor(0.3272711039, grad_fn=<DivBackward0>)
tensor(0.3280453384, grad_fn=<DivBackward0>)
tensor(0.3278766274, grad_fn=<DivBackward0>)
tensor(0.3281039894, grad_fn=<DivBackward0>)
tensor(0.3285218179, grad_fn=<DivBackward0>)
tensor(0.3284663260, grad_fn=<DivBackward0>)
tensor(0.3277315497, grad_fn=<DivBackward0>)
tensor(0.3284517527, grad_fn=<DivBackward0>)
tensor(0.3270600140, grad_fn=<DivBackward0>)
tensor(0.3266905248, grad_fn=<DivBackward0>)
tensor(0.3268980086, grad_fn=<DivBackward0>)
tensor(0.3269711733, grad_fn=<DivBackward0>)
tensor(0.3263260126, grad_fn=<DivBackward0>)
tensor(0.3262379467, grad_fn=<DivBackward0>)
tensor(0.3260134757, grad_fn=<DivBackward0>)
tensor(0.3256356418, grad_fn=<DivBackward0>)
tensor(0.3252403140, grad_fn=<DivBackward0>)
tensor(0.3259796798, grad_fn=<DivBackward0>)
tensor(0.3242027760, grad_fn=<DivBackward0>)
tensor(0.3259249032, grad_fn=<DivBackward0>)
tensor(0.3261758089, grad_fn=<DivBackward0>)
tensor(0.3255574107, grad_fn=<DivBackward0>)
tensor(0.3249973059, grad_fn=<DivBackward0>)
tensor(0.3242143393, grad_fn=<DivBackward0>)
tensor(0.3254724443, grad_fn=<DivBackward0>)
tensor(0.3255497217, grad_fn=<DivBackward0>)
tensor(0.3247399032, grad_fn=<DivBackward0>)
tensor(0.3241489232, grad_fn=<DivBackward0>)
tensor(0.3242063522, grad_fn=<DivBackward0>)
tensor(0.3239021599, grad_fn=<DivBackward0>)
tensor(0.3246173561, grad_fn=<DivBackward0>)
tensor(0.3239932358, grad_fn=<DivBackward0>)
tensor(0.3245460391, grad_fn=<DivBackward0>)
tensor(0.3248676956, grad_fn=<DivBackward0>)
tensor(0.3244336843, grad_fn=<DivBackward0>)
tensor(0.3242166638, grad_fn=<DivBackward0>)
tensor(0.3248446882, grad_fn=<DivBackward0>)
tensor(0.3247677982, grad_fn=<DivBackward0>)
tensor(0.3240581751, grad_fn=<DivBackward0>)
tensor(0.3245814145, grad_fn=<DivBackward0>)
tensor(0.3238697350, grad_fn=<DivBackward0>)
tensor(0.3234969676, grad_fn=<DivBackward0>)
tensor(0.3242950141, grad_fn=<DivBackward0>)
tensor(0.3245025873, grad_fn=<DivBackward0>)
tensor(0.3242661059, grad_fn=<DivBackward0>)
tensor(0.3237777054, grad_fn=<DivBackward0>)
tensor(0.3243663609, grad_fn=<DivBackward0>)
tensor(0.3236673176, grad_fn=<DivBackward0>)
tensor(0.3238325119, grad_fn=<DivBackward0>)
tensor(0.3230167031, grad_fn=<DivBackward0>)
tensor(0.3228043318, grad_fn=<DivBackward0>)
tensor(0.3242231607, grad_fn=<DivBackward0>)
tensor(0.3241101503, grad_fn=<DivBackward0>)
tensor(0.3234612346, grad_fn=<DivBackward0>)
tensor(0.3238077760, grad_fn=<DivBackward0>)
tensor(0.3241912127, grad_fn=<DivBackward0>)
tensor(0.3240665495, grad_fn=<DivBackward0>)
tensor(0.3240532577, grad_fn=<DivBackward0>)
tensor(0.3241892159, grad_fn=<DivBackward0>)
tensor(0.3248621225, grad_fn=<DivBackward0>)
tensor(0.3244617879, grad_fn=<DivBackward0>)
tensor(0.3243517578, grad_fn=<DivBackward0>)
tensor(0.3245061636, grad_fn=<DivBackward0>)
tensor(0.3246001303, grad_fn=<DivBackward0>)
tensor(0.3248534203, grad_fn=<DivBackward0>)
tensor(0.3245144784, grad_fn=<DivBackward0>)
tensor(0.3248942792, grad_fn=<DivBackward0>)
tensor(0.3244667947, grad_fn=<DivBackward0>)
tensor(0.3244922161, grad_fn=<DivBackward0>)
tensor(0.3245026171, grad_fn=<DivBackward0>)
tensor(0.3238320351, grad_fn=<DivBackward0>)
tensor(0.3246293962, grad_fn=<DivBackward0>)
tensor(0.3250207603, grad_fn=<DivBackward0>)
tensor(0.3232195973, grad_fn=<DivBackward0>)
tensor(0.3233619034, grad_fn=<DivBackward0>)
tensor(0.3235178292, grad_fn=<DivBackward0>)
tensor(0.3229351938, grad_fn=<DivBackward0>)
tensor(0.3230423927, grad_fn=<DivBackward0>)
tensor(0.3233506382, grad_fn=<DivBackward0>)
tensor(0.3230293393, grad_fn=<DivBackward0>)
tensor(0.3231375813, grad_fn=<DivBackward0>)
tensor(0.3231827915, grad_fn=<DivBackward0>)
tensor(0.3235374987, grad_fn=<DivBackward0>)
tensor(0.3231025040, grad_fn=<DivBackward0>)
tensor(0.3226153255, grad_fn=<DivBackward0>)
tensor(0.3228586018, grad_fn=<DivBackward0>)
tensor(0.3225182593, grad_fn=<DivBackward0>)
tensor(0.3231481314, grad_fn=<DivBackward0>)
tensor(0.3228107989, grad_fn=<DivBackward0>)
tensor(0.3228338659, grad_fn=<DivBackward0>)
tensor(0.3227809966, grad_fn=<DivBackward0>)
tensor(0.3230247498, grad_fn=<DivBackward0>)
tensor(0.3229446709, grad_fn=<DivBackward0>)
tensor(0.3227980435, grad_fn=<DivBackward0>)
tensor(0.3229573965, grad_fn=<DivBackward0>)
tensor(0.3227670193, grad_fn=<DivBackward0>)
tensor(0.3231467009, grad_fn=<DivBackward0>)
tensor(0.3222940266, grad_fn=<DivBackward0>)
tensor(0.3223794103, grad_fn=<DivBackward0>)
tensor(0.3224138618, grad_fn=<DivBackward0>)
tensor(0.3224896789, grad_fn=<DivBackward0>)
tensor(0.3226328194, grad_fn=<DivBackward0>)
tensor(0.3222139776, grad_fn=<DivBackward0>)
tensor(0.3222061694, grad_fn=<DivBackward0>)
tensor(0.3223524094, grad_fn=<DivBackward0>)
tensor(0.3227478266, grad_fn=<DivBackward0>)
tensor(0.3231755197, grad_fn=<DivBackward0>)
tensor(0.3228326738, grad_fn=<DivBackward0>)
tensor(0.3229382038, grad_fn=<DivBackward0>)
tensor(0.3227411807, grad_fn=<DivBackward0>)
tensor(0.3225153983, grad_fn=<DivBackward0>)
tensor(0.3228566349, grad_fn=<DivBackward0>)
tensor(0.3225778341, grad_fn=<DivBackward0>)
tensor(0.3224526346, grad_fn=<DivBackward0>)
tensor(0.3226050138, grad_fn=<DivBackward0>)
tensor(0.3224055469, grad_fn=<DivBackward0>)
tensor(0.3224297464, grad_fn=<DivBackward0>)
tensor(0.3230253458, grad_fn=<DivBackward0>)
tensor(0.3231923580, grad_fn=<DivBackward0>)
tensor(0.3229748905, grad_fn=<DivBackward0>)
tensor(0.3226623535, grad_fn=<DivBackward0>)
tensor(0.3227684498, grad_fn=<DivBackward0>)
tensor(0.3229110241, grad_fn=<DivBackward0>)
tensor(0.3219398260, grad_fn=<DivBackward0>)
tensor(0.3225027323, grad_fn=<DivBackward0>)
tensor(0.3221387863, grad_fn=<DivBackward0>)
tensor(0.3222006857, grad_fn=<DivBackward0>)
tensor(0.3228004575, grad_fn=<DivBackward0>)
tensor(0.3223467767, grad_fn=<DivBackward0>)
tensor(0.3227868974, grad_fn=<DivBackward0>)
tensor(0.3230357170, grad_fn=<DivBackward0>)
tensor(0.3220616579, grad_fn=<DivBackward0>)
tensor(0.3226128817, grad_fn=<DivBackward0>)
tensor(0.3224750161, grad_fn=<DivBackward0>)
tensor(0.3230357468, grad_fn=<DivBackward0>)
tensor(0.3222319484, grad_fn=<DivBackward0>)
tensor(0.3226345778, grad_fn=<DivBackward0>)
tensor(0.3220803738, grad_fn=<DivBackward0>)
tensor(0.3224569857, grad_fn=<DivBackward0>)
tensor(0.3227626681, grad_fn=<DivBackward0>)
tensor(0.3225604296, grad_fn=<DivBackward0>)
tensor(0.3223801851, grad_fn=<DivBackward0>)
tensor(0.3221158087, grad_fn=<DivBackward0>)
tensor(0.3226177692, grad_fn=<DivBackward0>)
tensor(0.3222596943, grad_fn=<DivBackward0>)
tensor(0.3226419985, grad_fn=<DivBackward0>)
tensor(0.3227647841, grad_fn=<DivBackward0>)
tensor(0.3226841092, grad_fn=<DivBackward0>)
tensor(0.3225001395, grad_fn=<DivBackward0>)
tensor(0.3220559657, grad_fn=<DivBackward0>)
tensor(0.3222694099, grad_fn=<DivBackward0>)
tensor(0.3225416541, grad_fn=<DivBackward0>)
tensor(0.3219992220, grad_fn=<DivBackward0>)
tensor(0.3225893080, grad_fn=<DivBackward0>)
tensor(0.3221395612, grad_fn=<DivBackward0>)
tensor(0.3225748837, grad_fn=<DivBackward0>)
tensor(0.3226490915, grad_fn=<DivBackward0>)
tensor(0.3224198818, grad_fn=<DivBackward0>)
tensor(0.3224605918, grad_fn=<DivBackward0>)
tensor(0.3226139545, grad_fn=<DivBackward0>)
tensor(0.3226529956, grad_fn=<DivBackward0>)
tensor(0.3219325244, grad_fn=<DivBackward0>)
tensor(0.3222042620, grad_fn=<DivBackward0>)
tensor(0.3228475153, grad_fn=<DivBackward0>)
tensor(0.3225359917, grad_fn=<DivBackward0>)
tensor(0.3219590485, grad_fn=<DivBackward0>)
tensor(0.3226632774, grad_fn=<DivBackward0>)
tensor(0.3222299814, grad_fn=<DivBackward0>)
tensor(0.3222632408, grad_fn=<DivBackward0>)
tensor(0.3222910464, grad_fn=<DivBackward0>)
tensor(0.3219293654, grad_fn=<DivBackward0>)
tensor(0.3220397830, grad_fn=<DivBackward0>)
tensor(0.3221689761, grad_fn=<DivBackward0>)
tensor(0.3219388425, grad_fn=<DivBackward0>)
tensor(0.3226530254, grad_fn=<DivBackward0>)
tensor(0.3216929138, grad_fn=<DivBackward0>)
tensor(0.3220088482, grad_fn=<DivBackward0>)
tensor(0.3227025270, grad_fn=<DivBackward0>)
tensor(0.3222725689, grad_fn=<DivBackward0>)
tensor(0.3224224448, grad_fn=<DivBackward0>)
tensor(0.3224374354, grad_fn=<DivBackward0>)
tensor(0.3223173618, grad_fn=<DivBackward0>)
tensor(0.3220859468, grad_fn=<DivBackward0>)
tensor(0.3220638037, grad_fn=<DivBackward0>)
tensor(0.3225466311, grad_fn=<DivBackward0>)
tensor(0.3225626051, grad_fn=<DivBackward0>)
tensor(0.3223409653, grad_fn=<DivBackward0>)
tensor(0.3221580386, grad_fn=<DivBackward0>)
tensor(0.3224851787, grad_fn=<DivBackward0>)
tensor(0.3224894106, grad_fn=<DivBackward0>)
tensor(0.3219570816, grad_fn=<DivBackward0>)
tensor(0.3221057057, grad_fn=<DivBackward0>)
tensor(0.3225910068, grad_fn=<DivBackward0>)
tensor(0.3225587606, grad_fn=<DivBackward0>)
tensor(0.3227333724, grad_fn=<DivBackward0>)
