tensor(0.2664800286, grad_fn=<DivBackward0>)
tensor(0.1679026335, grad_fn=<DivBackward0>)
tensor(0.1583548784, grad_fn=<DivBackward0>)
tensor(0.1563729644, grad_fn=<DivBackward0>)
tensor(0.1536785513, grad_fn=<DivBackward0>)
tensor(0.1532321870, grad_fn=<DivBackward0>)
tensor(0.1526146531, grad_fn=<DivBackward0>)
tensor(0.1510865092, grad_fn=<DivBackward0>)
tensor(0.1507984847, grad_fn=<DivBackward0>)
tensor(0.1508408189, grad_fn=<DivBackward0>)
tensor(0.1502189785, grad_fn=<DivBackward0>)
tensor(0.1506047249, grad_fn=<DivBackward0>)
tensor(0.1508426517, grad_fn=<DivBackward0>)
tensor(0.1506306082, grad_fn=<DivBackward0>)
tensor(0.1495451778, grad_fn=<DivBackward0>)
tensor(0.1489409655, grad_fn=<DivBackward0>)
tensor(0.1486393958, grad_fn=<DivBackward0>)
tensor(0.1504551768, grad_fn=<DivBackward0>)
tensor(0.1498180777, grad_fn=<DivBackward0>)
tensor(0.1488319933, grad_fn=<DivBackward0>)
tensor(0.1483531594, grad_fn=<DivBackward0>)
tensor(0.1493519247, grad_fn=<DivBackward0>)
tensor(0.1485673338, grad_fn=<DivBackward0>)
tensor(0.1481388211, grad_fn=<DivBackward0>)
tensor(0.1492114067, grad_fn=<DivBackward0>)
tensor(0.1471951753, grad_fn=<DivBackward0>)
tensor(0.1478391588, grad_fn=<DivBackward0>)
tensor(0.1479700357, grad_fn=<DivBackward0>)
tensor(0.1485511959, grad_fn=<DivBackward0>)
tensor(0.1495612264, grad_fn=<DivBackward0>)
tensor(0.1486527771, grad_fn=<DivBackward0>)
tensor(0.1480108052, grad_fn=<DivBackward0>)
tensor(0.1478217244, grad_fn=<DivBackward0>)
tensor(0.1483894587, grad_fn=<DivBackward0>)
tensor(0.1479992419, grad_fn=<DivBackward0>)
tensor(0.1473384947, grad_fn=<DivBackward0>)
tensor(0.1482682675, grad_fn=<DivBackward0>)
tensor(0.1482104808, grad_fn=<DivBackward0>)
tensor(0.1488380879, grad_fn=<DivBackward0>)
tensor(0.1476242542, grad_fn=<DivBackward0>)
tensor(0.1487593651, grad_fn=<DivBackward0>)
tensor(0.1487793922, grad_fn=<DivBackward0>)
tensor(0.1483950466, grad_fn=<DivBackward0>)
tensor(0.1478300840, grad_fn=<DivBackward0>)
tensor(0.1482264549, grad_fn=<DivBackward0>)
tensor(0.1486058980, grad_fn=<DivBackward0>)
tensor(0.1480194926, grad_fn=<DivBackward0>)
tensor(0.1490484029, grad_fn=<DivBackward0>)
tensor(0.1476790011, grad_fn=<DivBackward0>)
tensor(0.1487595141, grad_fn=<DivBackward0>)
tensor(0.1469787657, grad_fn=<DivBackward0>)
tensor(0.1486162245, grad_fn=<DivBackward0>)
tensor(0.1481319368, grad_fn=<DivBackward0>)
tensor(0.1480392814, grad_fn=<DivBackward0>)
tensor(0.1465578228, grad_fn=<DivBackward0>)
tensor(0.1476782113, grad_fn=<DivBackward0>)
tensor(0.1484324485, grad_fn=<DivBackward0>)
tensor(0.1478843987, grad_fn=<DivBackward0>)
tensor(0.1493096948, grad_fn=<DivBackward0>)
tensor(0.1485327482, grad_fn=<DivBackward0>)
tensor(0.1485251486, grad_fn=<DivBackward0>)
tensor(0.1488734782, grad_fn=<DivBackward0>)
tensor(0.1487672180, grad_fn=<DivBackward0>)
tensor(0.1475596279, grad_fn=<DivBackward0>)
tensor(0.1477815807, grad_fn=<DivBackward0>)
tensor(0.1488325149, grad_fn=<DivBackward0>)
tensor(0.1479902267, grad_fn=<DivBackward0>)
tensor(0.1488130391, grad_fn=<DivBackward0>)
tensor(0.1493366063, grad_fn=<DivBackward0>)
tensor(0.1483790278, grad_fn=<DivBackward0>)
tensor(0.1485471427, grad_fn=<DivBackward0>)
tensor(0.1479490101, grad_fn=<DivBackward0>)
tensor(0.1487324834, grad_fn=<DivBackward0>)
tensor(0.1484086663, grad_fn=<DivBackward0>)
tensor(0.1488233507, grad_fn=<DivBackward0>)
tensor(0.1489916593, grad_fn=<DivBackward0>)
tensor(0.1476181149, grad_fn=<DivBackward0>)
tensor(0.1486829966, grad_fn=<DivBackward0>)
tensor(0.1485787332, grad_fn=<DivBackward0>)
tensor(0.1479577124, grad_fn=<DivBackward0>)
tensor(0.1476655751, grad_fn=<DivBackward0>)
tensor(0.1494089961, grad_fn=<DivBackward0>)
tensor(0.1480439007, grad_fn=<DivBackward0>)
tensor(0.1486800462, grad_fn=<DivBackward0>)
tensor(0.1469424367, grad_fn=<DivBackward0>)
tensor(0.1488983482, grad_fn=<DivBackward0>)
tensor(0.1487608254, grad_fn=<DivBackward0>)
tensor(0.1476613581, grad_fn=<DivBackward0>)
tensor(0.1488131136, grad_fn=<DivBackward0>)
tensor(0.1480522752, grad_fn=<DivBackward0>)
tensor(0.1494284123, grad_fn=<DivBackward0>)
tensor(0.1489116997, grad_fn=<DivBackward0>)
tensor(0.1479821801, grad_fn=<DivBackward0>)
tensor(0.1480720490, grad_fn=<DivBackward0>)
tensor(0.1502071619, grad_fn=<DivBackward0>)
tensor(0.1483430415, grad_fn=<DivBackward0>)
tensor(0.1474251747, grad_fn=<DivBackward0>)
tensor(0.1474186331, grad_fn=<DivBackward0>)
tensor(0.1479856521, grad_fn=<DivBackward0>)
tensor(0.1480160505, grad_fn=<DivBackward0>)
tensor(0.1400134116, grad_fn=<DivBackward0>)
tensor(0.1367149800, grad_fn=<DivBackward0>)
tensor(0.1353890300, grad_fn=<DivBackward0>)
tensor(0.1354321539, grad_fn=<DivBackward0>)
tensor(0.1339255571, grad_fn=<DivBackward0>)
tensor(0.1353984177, grad_fn=<DivBackward0>)
tensor(0.1364351362, grad_fn=<DivBackward0>)
tensor(0.1359604895, grad_fn=<DivBackward0>)
tensor(0.1346572638, grad_fn=<DivBackward0>)
tensor(0.1361821294, grad_fn=<DivBackward0>)
tensor(0.1353322417, grad_fn=<DivBackward0>)
tensor(0.1364134103, grad_fn=<DivBackward0>)
tensor(0.1365216225, grad_fn=<DivBackward0>)
tensor(0.1370820850, grad_fn=<DivBackward0>)
tensor(0.1369050145, grad_fn=<DivBackward0>)
tensor(0.1356350631, grad_fn=<DivBackward0>)
tensor(0.1371987015, grad_fn=<DivBackward0>)
tensor(0.1370661855, grad_fn=<DivBackward0>)
tensor(0.1366173476, grad_fn=<DivBackward0>)
tensor(0.1388990730, grad_fn=<DivBackward0>)
tensor(0.1384605467, grad_fn=<DivBackward0>)
tensor(0.1380149871, grad_fn=<DivBackward0>)
tensor(0.1371245235, grad_fn=<DivBackward0>)
tensor(0.1387137622, grad_fn=<DivBackward0>)
tensor(0.1378856152, grad_fn=<DivBackward0>)
tensor(0.1380302459, grad_fn=<DivBackward0>)
tensor(0.1375389844, grad_fn=<DivBackward0>)
tensor(0.1390512884, grad_fn=<DivBackward0>)
tensor(0.1388515532, grad_fn=<DivBackward0>)
tensor(0.1396019310, grad_fn=<DivBackward0>)
tensor(0.1392374188, grad_fn=<DivBackward0>)
tensor(0.1380251050, grad_fn=<DivBackward0>)
tensor(0.1395752579, grad_fn=<DivBackward0>)
tensor(0.1401823163, grad_fn=<DivBackward0>)
tensor(0.1401286423, grad_fn=<DivBackward0>)
tensor(0.1397907585, grad_fn=<DivBackward0>)
