tensor(0.3669401705, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3202745914, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3138530850, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3118886352, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3103561103, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3090230227, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3090196550, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3085996807, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3087255061, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3081585765, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3068542480, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.3078863621, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2901831269, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2796621919, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2695673108, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2677249610, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2673094869, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2679989934, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691310048, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685201764, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2690504193, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2696818113, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2679745257, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686802745, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2687889338, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694573998, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685410082, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682173550, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682723403, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686903775, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694566548, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685532570, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694090605, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685491443, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2687232792, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682508528, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683927417, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2689127326, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686401308, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685414553, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2689395845, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685266435, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685917616, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2692979872, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2677680552, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683157623, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694042027, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682714760, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691288590, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2678605020, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685229480, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2690807879, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691777050, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2687696218, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2671711147, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691257596, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2684790790, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691804767, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2698961794, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685720325, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2692042589, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2678343654, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2679632902, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682245672, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2687858343, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685277164, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2689362764, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694742978, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2690389454, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682231069, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686706185, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686583400, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2688067853, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2681207955, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2686298490, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2677786946, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683996260, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683233619, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685844898, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2697646618, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2682490647, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683852315, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2679007947, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2678250074, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685236335, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2674537897, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2697991133, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2689506710, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2699378133, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2692656219, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2691516280, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2679233253, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2685820162, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683864534, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2683282495, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2694340944, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2680108845, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2681470811, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2688398957, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2680412531, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2659992576, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2640557289, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2639270425, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2635899782, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2638091147, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2633729577, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2622370720, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2628910542, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2620712221, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2616329491, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2623418868, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2614256740, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2616785169, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2610487342, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2614459097, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2622050345, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2630790472, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2626814842, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2623696327, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2617562413, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2615180016, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2616741359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2619130909, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2616604269, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2623064220, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2622121871, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2636756897, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2617504597, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2625352442, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2626953423, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2631206810, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2627059519, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2628690898, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2619664669, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2621626854, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2620783150, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2625524104, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2626395226, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2622650266, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2622782588, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2632497847, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2619019151, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2623715699, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2619169652, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2627537847, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2628771663, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2621181607, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2633229494, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2624524832, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2627992928, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2615155280, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2615568936, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.2608742714, device='cuda:0', grad_fn=<DivBackward0>)
