tensor(0.2647922635, grad_fn=<DivBackward0>)
tensor(0.1658409238, grad_fn=<DivBackward0>)
tensor(0.1575991958, grad_fn=<DivBackward0>)
tensor(0.1554874033, grad_fn=<DivBackward0>)
tensor(0.1529163420, grad_fn=<DivBackward0>)
tensor(0.1529794782, grad_fn=<DivBackward0>)
tensor(0.1520756930, grad_fn=<DivBackward0>)
tensor(0.1510963291, grad_fn=<DivBackward0>)
tensor(0.1509212404, grad_fn=<DivBackward0>)
tensor(0.1503006965, grad_fn=<DivBackward0>)
tensor(0.1497390270, grad_fn=<DivBackward0>)
tensor(0.1498813331, grad_fn=<DivBackward0>)
tensor(0.1495025903, grad_fn=<DivBackward0>)
tensor(0.1509797424, grad_fn=<DivBackward0>)
tensor(0.1501689255, grad_fn=<DivBackward0>)
tensor(0.1502760351, grad_fn=<DivBackward0>)
tensor(0.1484355628, grad_fn=<DivBackward0>)
tensor(0.1491787881, grad_fn=<DivBackward0>)
tensor(0.1502158493, grad_fn=<DivBackward0>)
tensor(0.1487192363, grad_fn=<DivBackward0>)
tensor(0.1490672231, grad_fn=<DivBackward0>)
tensor(0.1491561979, grad_fn=<DivBackward0>)
tensor(0.1495071650, grad_fn=<DivBackward0>)
tensor(0.1500486284, grad_fn=<DivBackward0>)
tensor(0.1490771919, grad_fn=<DivBackward0>)
tensor(0.1476783305, grad_fn=<DivBackward0>)
tensor(0.1484569907, grad_fn=<DivBackward0>)
tensor(0.1486778259, grad_fn=<DivBackward0>)
tensor(0.1486207396, grad_fn=<DivBackward0>)
tensor(0.1487485319, grad_fn=<DivBackward0>)
tensor(0.1480351388, grad_fn=<DivBackward0>)
tensor(0.1492256969, grad_fn=<DivBackward0>)
tensor(0.1473665982, grad_fn=<DivBackward0>)
tensor(0.1479874104, grad_fn=<DivBackward0>)
tensor(0.1482988298, grad_fn=<DivBackward0>)
tensor(0.1477274895, grad_fn=<DivBackward0>)
tensor(0.1489519179, grad_fn=<DivBackward0>)
tensor(0.1477633119, grad_fn=<DivBackward0>)
tensor(0.1493145972, grad_fn=<DivBackward0>)
tensor(0.1486903429, grad_fn=<DivBackward0>)
tensor(0.1484306455, grad_fn=<DivBackward0>)
tensor(0.1488407701, grad_fn=<DivBackward0>)
tensor(0.1486416310, grad_fn=<DivBackward0>)
tensor(0.1483302116, grad_fn=<DivBackward0>)
tensor(0.1472714543, grad_fn=<DivBackward0>)
tensor(0.1483745575, grad_fn=<DivBackward0>)
tensor(0.1479019672, grad_fn=<DivBackward0>)
tensor(0.1488489509, grad_fn=<DivBackward0>)
tensor(0.1479743719, grad_fn=<DivBackward0>)
tensor(0.1482368410, grad_fn=<DivBackward0>)
tensor(0.1478878409, grad_fn=<DivBackward0>)
tensor(0.1471118033, grad_fn=<DivBackward0>)
tensor(0.1474908441, grad_fn=<DivBackward0>)
tensor(0.1480518132, grad_fn=<DivBackward0>)
tensor(0.1480030715, grad_fn=<DivBackward0>)
tensor(0.1475341320, grad_fn=<DivBackward0>)
tensor(0.1478027254, grad_fn=<DivBackward0>)
tensor(0.1474930942, grad_fn=<DivBackward0>)
tensor(0.1469089985, grad_fn=<DivBackward0>)
tensor(0.1476747245, grad_fn=<DivBackward0>)
tensor(0.1477258205, grad_fn=<DivBackward0>)
tensor(0.1481188387, grad_fn=<DivBackward0>)
tensor(0.1485297978, grad_fn=<DivBackward0>)
tensor(0.1492211968, grad_fn=<DivBackward0>)
tensor(0.1482345015, grad_fn=<DivBackward0>)
tensor(0.1491543055, grad_fn=<DivBackward0>)
tensor(0.1479679793, grad_fn=<DivBackward0>)
tensor(0.1489393562, grad_fn=<DivBackward0>)
tensor(0.1491345912, grad_fn=<DivBackward0>)
tensor(0.1479495466, grad_fn=<DivBackward0>)
tensor(0.1495650858, grad_fn=<DivBackward0>)
tensor(0.1489282548, grad_fn=<DivBackward0>)
tensor(0.1495248079, grad_fn=<DivBackward0>)
tensor(0.1485886574, grad_fn=<DivBackward0>)
tensor(0.1483688802, grad_fn=<DivBackward0>)
tensor(0.1488386989, grad_fn=<DivBackward0>)
tensor(0.1485744268, grad_fn=<DivBackward0>)
tensor(0.1497243643, grad_fn=<DivBackward0>)
tensor(0.1485869139, grad_fn=<DivBackward0>)
tensor(0.1494219899, grad_fn=<DivBackward0>)
tensor(0.1478057206, grad_fn=<DivBackward0>)
tensor(0.1488487571, grad_fn=<DivBackward0>)
tensor(0.1483243853, grad_fn=<DivBackward0>)
tensor(0.1486787051, grad_fn=<DivBackward0>)
tensor(0.1482794583, grad_fn=<DivBackward0>)
tensor(0.1483409405, grad_fn=<DivBackward0>)
tensor(0.1477665752, grad_fn=<DivBackward0>)
tensor(0.1475893557, grad_fn=<DivBackward0>)
tensor(0.1483154744, grad_fn=<DivBackward0>)
tensor(0.1470852196, grad_fn=<DivBackward0>)
tensor(0.1486185789, grad_fn=<DivBackward0>)
tensor(0.1488736421, grad_fn=<DivBackward0>)
tensor(0.1487807333, grad_fn=<DivBackward0>)
tensor(0.1474689245, grad_fn=<DivBackward0>)
tensor(0.1496248096, grad_fn=<DivBackward0>)
tensor(0.1472864151, grad_fn=<DivBackward0>)
tensor(0.1479246318, grad_fn=<DivBackward0>)
tensor(0.1481349766, grad_fn=<DivBackward0>)
tensor(0.1481658518, grad_fn=<DivBackward0>)
tensor(0.1487543136, grad_fn=<DivBackward0>)
tensor(0.1396155655, grad_fn=<DivBackward0>)
tensor(0.1372238100, grad_fn=<DivBackward0>)
tensor(0.1355840862, grad_fn=<DivBackward0>)
tensor(0.1361858845, grad_fn=<DivBackward0>)
tensor(0.1346795410, grad_fn=<DivBackward0>)
tensor(0.1355167627, grad_fn=<DivBackward0>)
tensor(0.1369895190, grad_fn=<DivBackward0>)
tensor(0.1359017491, grad_fn=<DivBackward0>)
tensor(0.1352824420, grad_fn=<DivBackward0>)
tensor(0.1362290084, grad_fn=<DivBackward0>)
tensor(0.1370761544, grad_fn=<DivBackward0>)
tensor(0.1354803294, grad_fn=<DivBackward0>)
tensor(0.1363646090, grad_fn=<DivBackward0>)
tensor(0.1370171160, grad_fn=<DivBackward0>)
tensor(0.1365078092, grad_fn=<DivBackward0>)
tensor(0.1366251558, grad_fn=<DivBackward0>)
tensor(0.1378076226, grad_fn=<DivBackward0>)
tensor(0.1380678117, grad_fn=<DivBackward0>)
tensor(0.1376093179, grad_fn=<DivBackward0>)
tensor(0.1387449205, grad_fn=<DivBackward0>)
tensor(0.1380930394, grad_fn=<DivBackward0>)
tensor(0.1380483955, grad_fn=<DivBackward0>)
tensor(0.1380251646, grad_fn=<DivBackward0>)
tensor(0.1395943463, grad_fn=<DivBackward0>)
tensor(0.1382082254, grad_fn=<DivBackward0>)
tensor(0.1394029558, grad_fn=<DivBackward0>)
tensor(0.1380475461, grad_fn=<DivBackward0>)
tensor(0.1400520355, grad_fn=<DivBackward0>)
tensor(0.1386456937, grad_fn=<DivBackward0>)
tensor(0.1393488646, grad_fn=<DivBackward0>)
tensor(0.1400333941, grad_fn=<DivBackward0>)
tensor(0.1378138661, grad_fn=<DivBackward0>)
tensor(0.1395644397, grad_fn=<DivBackward0>)
tensor(0.1394236386, grad_fn=<DivBackward0>)
tensor(0.1397856176, grad_fn=<DivBackward0>)
tensor(0.1398508102, grad_fn=<DivBackward0>)
tensor(0.1395117193, grad_fn=<DivBackward0>)
tensor(0.1390449107, grad_fn=<DivBackward0>)
tensor(0.1399691403, grad_fn=<DivBackward0>)
tensor(0.1401739866, grad_fn=<DivBackward0>)
tensor(0.1399907470, grad_fn=<DivBackward0>)
tensor(0.1400055140, grad_fn=<DivBackward0>)
tensor(0.1385117024, grad_fn=<DivBackward0>)
tensor(0.1390924156, grad_fn=<DivBackward0>)
tensor(0.1399820298, grad_fn=<DivBackward0>)
tensor(0.1388320029, grad_fn=<DivBackward0>)
tensor(0.1385190934, grad_fn=<DivBackward0>)
tensor(0.1383797526, grad_fn=<DivBackward0>)
tensor(0.1384028047, grad_fn=<DivBackward0>)
tensor(0.1406435668, grad_fn=<DivBackward0>)
tensor(0.1364412159, grad_fn=<DivBackward0>)
tensor(0.1330084652, grad_fn=<DivBackward0>)
tensor(0.1328401119, grad_fn=<DivBackward0>)
tensor(0.1308463365, grad_fn=<DivBackward0>)
tensor(0.1315246522, grad_fn=<DivBackward0>)
tensor(0.1314534992, grad_fn=<DivBackward0>)
tensor(0.1320737749, grad_fn=<DivBackward0>)
tensor(0.1333197504, grad_fn=<DivBackward0>)
tensor(0.1331773698, grad_fn=<DivBackward0>)
tensor(0.1333818436, grad_fn=<DivBackward0>)
tensor(0.1334204525, grad_fn=<DivBackward0>)
tensor(0.1336984187, grad_fn=<DivBackward0>)
tensor(0.1344265044, grad_fn=<DivBackward0>)
tensor(0.1344290376, grad_fn=<DivBackward0>)
tensor(0.1334467381, grad_fn=<DivBackward0>)
tensor(0.1352057606, grad_fn=<DivBackward0>)
tensor(0.1349708289, grad_fn=<DivBackward0>)
tensor(0.1343237162, grad_fn=<DivBackward0>)
tensor(0.1358895451, grad_fn=<DivBackward0>)
tensor(0.1350567490, grad_fn=<DivBackward0>)
tensor(0.1360595673, grad_fn=<DivBackward0>)
tensor(0.1374044120, grad_fn=<DivBackward0>)
tensor(0.1361397654, grad_fn=<DivBackward0>)
tensor(0.1352584958, grad_fn=<DivBackward0>)
tensor(0.1354554296, grad_fn=<DivBackward0>)
tensor(0.1352595687, grad_fn=<DivBackward0>)
tensor(0.1354485005, grad_fn=<DivBackward0>)
tensor(0.1363500953, grad_fn=<DivBackward0>)
tensor(0.1350015551, grad_fn=<DivBackward0>)
tensor(0.1370485872, grad_fn=<DivBackward0>)
tensor(0.1356983632, grad_fn=<DivBackward0>)
tensor(0.1372127086, grad_fn=<DivBackward0>)
tensor(0.1373340040, grad_fn=<DivBackward0>)
tensor(0.1367120147, grad_fn=<DivBackward0>)
tensor(0.1364623010, grad_fn=<DivBackward0>)
tensor(0.1386904567, grad_fn=<DivBackward0>)
tensor(0.1357777417, grad_fn=<DivBackward0>)
tensor(0.1367227435, grad_fn=<DivBackward0>)
tensor(0.1366340369, grad_fn=<DivBackward0>)
tensor(0.1376047730, grad_fn=<DivBackward0>)
tensor(0.1370848268, grad_fn=<DivBackward0>)
tensor(0.1371673197, grad_fn=<DivBackward0>)
tensor(0.1375558525, grad_fn=<DivBackward0>)
tensor(0.1363119930, grad_fn=<DivBackward0>)
tensor(0.1381860077, grad_fn=<DivBackward0>)
tensor(0.1373348832, grad_fn=<DivBackward0>)
tensor(0.1375173777, grad_fn=<DivBackward0>)
tensor(0.1376709789, grad_fn=<DivBackward0>)
tensor(0.1374186128, grad_fn=<DivBackward0>)
tensor(0.1378412992, grad_fn=<DivBackward0>)
tensor(0.1342207491, grad_fn=<DivBackward0>)
tensor(0.1317790896, grad_fn=<DivBackward0>)
tensor(0.1313946098, grad_fn=<DivBackward0>)
tensor(0.1318985075, grad_fn=<DivBackward0>)
tensor(0.1323550045, grad_fn=<DivBackward0>)
tensor(0.1312929839, grad_fn=<DivBackward0>)
tensor(0.1314908713, grad_fn=<DivBackward0>)
tensor(0.1331025511, grad_fn=<DivBackward0>)
tensor(0.1314005405, grad_fn=<DivBackward0>)
tensor(0.1316988170, grad_fn=<DivBackward0>)
tensor(0.1323466301, grad_fn=<DivBackward0>)
tensor(0.1327116191, grad_fn=<DivBackward0>)
tensor(0.1335035563, grad_fn=<DivBackward0>)
tensor(0.1325750947, grad_fn=<DivBackward0>)
tensor(0.1345551461, grad_fn=<DivBackward0>)
tensor(0.1328525990, grad_fn=<DivBackward0>)
tensor(0.1333969980, grad_fn=<DivBackward0>)
tensor(0.1332784593, grad_fn=<DivBackward0>)
tensor(0.1334738433, grad_fn=<DivBackward0>)
tensor(0.1338761598, grad_fn=<DivBackward0>)
tensor(0.1336489916, grad_fn=<DivBackward0>)
tensor(0.1347741187, grad_fn=<DivBackward0>)
tensor(0.1339273602, grad_fn=<DivBackward0>)
tensor(0.1346144378, grad_fn=<DivBackward0>)
tensor(0.1345402002, grad_fn=<DivBackward0>)
tensor(0.1352390051, grad_fn=<DivBackward0>)
tensor(0.1360485256, grad_fn=<DivBackward0>)
tensor(0.1343953460, grad_fn=<DivBackward0>)
tensor(0.1345679313, grad_fn=<DivBackward0>)
tensor(0.1351029724, grad_fn=<DivBackward0>)
tensor(0.1357486397, grad_fn=<DivBackward0>)
tensor(0.1351339966, grad_fn=<DivBackward0>)
tensor(0.1356381029, grad_fn=<DivBackward0>)
tensor(0.1363280416, grad_fn=<DivBackward0>)
tensor(0.1345128864, grad_fn=<DivBackward0>)
tensor(0.1362070441, grad_fn=<DivBackward0>)
tensor(0.1355350018, grad_fn=<DivBackward0>)
tensor(0.1356489211, grad_fn=<DivBackward0>)
tensor(0.1353625804, grad_fn=<DivBackward0>)
tensor(0.1368964761, grad_fn=<DivBackward0>)
tensor(0.1357849687, grad_fn=<DivBackward0>)
tensor(0.1364568919, grad_fn=<DivBackward0>)
tensor(0.1363389790, grad_fn=<DivBackward0>)
tensor(0.1346039772, grad_fn=<DivBackward0>)
tensor(0.1358219087, grad_fn=<DivBackward0>)
tensor(0.1359673887, grad_fn=<DivBackward0>)
tensor(0.1357795447, grad_fn=<DivBackward0>)
tensor(0.1369885802, grad_fn=<DivBackward0>)
tensor(0.1372692734, grad_fn=<DivBackward0>)
tensor(0.1365841031, grad_fn=<DivBackward0>)
tensor(0.1318543553, grad_fn=<DivBackward0>)
tensor(0.1306992024, grad_fn=<DivBackward0>)
tensor(0.1297711879, grad_fn=<DivBackward0>)
tensor(0.1297937781, grad_fn=<DivBackward0>)
tensor(0.1294781119, grad_fn=<DivBackward0>)
tensor(0.1303979009, grad_fn=<DivBackward0>)
tensor(0.1316591948, grad_fn=<DivBackward0>)
tensor(0.1313791871, grad_fn=<DivBackward0>)
tensor(0.1315489411, grad_fn=<DivBackward0>)
tensor(0.1318483949, grad_fn=<DivBackward0>)
tensor(0.1321043968, grad_fn=<DivBackward0>)
tensor(0.1315132976, grad_fn=<DivBackward0>)
tensor(0.1320642233, grad_fn=<DivBackward0>)
tensor(0.1315784007, grad_fn=<DivBackward0>)
tensor(0.1329021752, grad_fn=<DivBackward0>)
tensor(0.1332848072, grad_fn=<DivBackward0>)
tensor(0.1336845756, grad_fn=<DivBackward0>)
tensor(0.1328156441, grad_fn=<DivBackward0>)
tensor(0.1330375373, grad_fn=<DivBackward0>)
tensor(0.1335649490, grad_fn=<DivBackward0>)
tensor(0.1331308484, grad_fn=<DivBackward0>)
tensor(0.1330092549, grad_fn=<DivBackward0>)
tensor(0.1327787340, grad_fn=<DivBackward0>)
tensor(0.1342760623, grad_fn=<DivBackward0>)
tensor(0.1338507980, grad_fn=<DivBackward0>)
tensor(0.1350653768, grad_fn=<DivBackward0>)
tensor(0.1345777661, grad_fn=<DivBackward0>)
tensor(0.1337770373, grad_fn=<DivBackward0>)
tensor(0.1331143528, grad_fn=<DivBackward0>)
tensor(0.1349430084, grad_fn=<DivBackward0>)
tensor(0.1339938045, grad_fn=<DivBackward0>)
tensor(0.1353764087, grad_fn=<DivBackward0>)
tensor(0.1336412132, grad_fn=<DivBackward0>)
tensor(0.1339681745, grad_fn=<DivBackward0>)
tensor(0.1351875216, grad_fn=<DivBackward0>)
tensor(0.1351038963, grad_fn=<DivBackward0>)
tensor(0.1346017420, grad_fn=<DivBackward0>)
tensor(0.1346361190, grad_fn=<DivBackward0>)
tensor(0.1349446923, grad_fn=<DivBackward0>)
tensor(0.1344838142, grad_fn=<DivBackward0>)
tensor(0.1348267943, grad_fn=<DivBackward0>)
tensor(0.1345822960, grad_fn=<DivBackward0>)
tensor(0.1346097589, grad_fn=<DivBackward0>)
tensor(0.1359962076, grad_fn=<DivBackward0>)
tensor(0.1353252530, grad_fn=<DivBackward0>)
tensor(0.1349907815, grad_fn=<DivBackward0>)
tensor(0.1357376724, grad_fn=<DivBackward0>)
tensor(0.1362678856, grad_fn=<DivBackward0>)
tensor(0.1362443566, grad_fn=<DivBackward0>)
tensor(0.1358499080, grad_fn=<DivBackward0>)
tensor(0.1353907436, grad_fn=<DivBackward0>)
tensor(0.1352588385, grad_fn=<DivBackward0>)
tensor(0.1362790018, grad_fn=<DivBackward0>)
tensor(0.1351757348, grad_fn=<DivBackward0>)
tensor(0.1349948049, grad_fn=<DivBackward0>)
tensor(0.1349539906, grad_fn=<DivBackward0>)
tensor(0.1360301673, grad_fn=<DivBackward0>)
tensor(0.1351596117, grad_fn=<DivBackward0>)
tensor(0.1357244104, grad_fn=<DivBackward0>)
tensor(0.1349874735, grad_fn=<DivBackward0>)
tensor(0.1354431957, grad_fn=<DivBackward0>)
tensor(0.1346929222, grad_fn=<DivBackward0>)
tensor(0.1362710893, grad_fn=<DivBackward0>)
tensor(0.1360544711, grad_fn=<DivBackward0>)
tensor(0.1366747320, grad_fn=<DivBackward0>)
tensor(0.1366231591, grad_fn=<DivBackward0>)
tensor(0.1356636435, grad_fn=<DivBackward0>)
tensor(0.1353737861, grad_fn=<DivBackward0>)
tensor(0.1359348744, grad_fn=<DivBackward0>)
tensor(0.1346972287, grad_fn=<DivBackward0>)
tensor(0.1349273473, grad_fn=<DivBackward0>)
tensor(0.1354293823, grad_fn=<DivBackward0>)
tensor(0.1348490417, grad_fn=<DivBackward0>)
tensor(0.1350299269, grad_fn=<DivBackward0>)
tensor(0.1355204284, grad_fn=<DivBackward0>)
tensor(0.1358796060, grad_fn=<DivBackward0>)
tensor(0.1360531002, grad_fn=<DivBackward0>)
tensor(0.1362482756, grad_fn=<DivBackward0>)
tensor(0.1362740546, grad_fn=<DivBackward0>)
tensor(0.1375844628, grad_fn=<DivBackward0>)
tensor(0.1351747066, grad_fn=<DivBackward0>)
tensor(0.1351763755, grad_fn=<DivBackward0>)
tensor(0.1372446120, grad_fn=<DivBackward0>)
tensor(0.1361076683, grad_fn=<DivBackward0>)
tensor(0.1352749169, grad_fn=<DivBackward0>)
tensor(0.1364473999, grad_fn=<DivBackward0>)
tensor(0.1358014643, grad_fn=<DivBackward0>)
tensor(0.1354490817, grad_fn=<DivBackward0>)
tensor(0.1358485371, grad_fn=<DivBackward0>)
tensor(0.1352497190, grad_fn=<DivBackward0>)
tensor(0.1364914328, grad_fn=<DivBackward0>)
tensor(0.1353477836, grad_fn=<DivBackward0>)
tensor(0.1359381080, grad_fn=<DivBackward0>)
tensor(0.1364924163, grad_fn=<DivBackward0>)
tensor(0.1362039000, grad_fn=<DivBackward0>)
tensor(0.1373623461, grad_fn=<DivBackward0>)
tensor(0.1357539296, grad_fn=<DivBackward0>)
tensor(0.1347835511, grad_fn=<DivBackward0>)
tensor(0.1356866509, grad_fn=<DivBackward0>)
tensor(0.1359491944, grad_fn=<DivBackward0>)
tensor(0.1363344938, grad_fn=<DivBackward0>)
tensor(0.1366344243, grad_fn=<DivBackward0>)
tensor(0.1355959624, grad_fn=<DivBackward0>)
tensor(0.1353730410, grad_fn=<DivBackward0>)
tensor(0.1361834407, grad_fn=<DivBackward0>)
tensor(0.1363366097, grad_fn=<DivBackward0>)
tensor(0.1368622929, grad_fn=<DivBackward0>)
tensor(0.1358610690, grad_fn=<DivBackward0>)
tensor(0.1351164728, grad_fn=<DivBackward0>)
tensor(0.1371210665, grad_fn=<DivBackward0>)
tensor(0.1370451301, grad_fn=<DivBackward0>)
tensor(0.1367081255, grad_fn=<DivBackward0>)
tensor(0.1360454410, grad_fn=<DivBackward0>)
tensor(0.1367259473, grad_fn=<DivBackward0>)
tensor(0.1362368613, grad_fn=<DivBackward0>)
tensor(0.1363873929, grad_fn=<DivBackward0>)
tensor(0.1355497986, grad_fn=<DivBackward0>)
tensor(0.1354109347, grad_fn=<DivBackward0>)
tensor(0.1360906512, grad_fn=<DivBackward0>)
tensor(0.1365304589, grad_fn=<DivBackward0>)
tensor(0.1379726231, grad_fn=<DivBackward0>)
tensor(0.1356581151, grad_fn=<DivBackward0>)
tensor(0.1369806826, grad_fn=<DivBackward0>)
tensor(0.1365982294, grad_fn=<DivBackward0>)
tensor(0.1362816542, grad_fn=<DivBackward0>)
tensor(0.1357983351, grad_fn=<DivBackward0>)
tensor(0.1354684681, grad_fn=<DivBackward0>)
tensor(0.1368049234, grad_fn=<DivBackward0>)
tensor(0.1374318749, grad_fn=<DivBackward0>)
tensor(0.1358868629, grad_fn=<DivBackward0>)
tensor(0.1369298697, grad_fn=<DivBackward0>)
tensor(0.1361691058, grad_fn=<DivBackward0>)
tensor(0.1377758980, grad_fn=<DivBackward0>)
tensor(0.1365649700, grad_fn=<DivBackward0>)
tensor(0.1367884129, grad_fn=<DivBackward0>)
tensor(0.1361979246, grad_fn=<DivBackward0>)
tensor(0.1366534382, grad_fn=<DivBackward0>)
tensor(0.1378092915, grad_fn=<DivBackward0>)
tensor(0.1360877603, grad_fn=<DivBackward0>)
tensor(0.1373112798, grad_fn=<DivBackward0>)
tensor(0.1385718137, grad_fn=<DivBackward0>)
tensor(0.1369654983, grad_fn=<DivBackward0>)
tensor(0.1368481964, grad_fn=<DivBackward0>)
tensor(0.1347824931, grad_fn=<DivBackward0>)
tensor(0.1372433752, grad_fn=<DivBackward0>)
tensor(0.1346827894, grad_fn=<DivBackward0>)
tensor(0.1356881261, grad_fn=<DivBackward0>)
tensor(0.1350953281, grad_fn=<DivBackward0>)
tensor(0.1362842619, grad_fn=<DivBackward0>)
tensor(0.1370759755, grad_fn=<DivBackward0>)
tensor(0.1362605989, grad_fn=<DivBackward0>)
tensor(0.1363451183, grad_fn=<DivBackward0>)
tensor(0.1355403811, grad_fn=<DivBackward0>)
tensor(0.1368439943, grad_fn=<DivBackward0>)
tensor(0.1366945356, grad_fn=<DivBackward0>)
tensor(0.1367535740, grad_fn=<DivBackward0>)
tensor(0.1374659389, grad_fn=<DivBackward0>)
tensor(0.1371567100, grad_fn=<DivBackward0>)
tensor(0.1357615292, grad_fn=<DivBackward0>)
tensor(0.1353113204, grad_fn=<DivBackward0>)
tensor(0.1362567842, grad_fn=<DivBackward0>)
tensor(0.1367458254, grad_fn=<DivBackward0>)
tensor(0.1374079585, grad_fn=<DivBackward0>)
tensor(0.1365706325, grad_fn=<DivBackward0>)
tensor(0.1368858665, grad_fn=<DivBackward0>)
tensor(0.1354417950, grad_fn=<DivBackward0>)
tensor(0.1362384707, grad_fn=<DivBackward0>)
tensor(0.1373642832, grad_fn=<DivBackward0>)
tensor(0.1368328333, grad_fn=<DivBackward0>)
tensor(0.1369419545, grad_fn=<DivBackward0>)
tensor(0.1364408433, grad_fn=<DivBackward0>)
tensor(0.1367743313, grad_fn=<DivBackward0>)
tensor(0.1357334107, grad_fn=<DivBackward0>)
tensor(0.1366410702, grad_fn=<DivBackward0>)
tensor(0.1375046521, grad_fn=<DivBackward0>)
tensor(0.1359655857, grad_fn=<DivBackward0>)
tensor(0.1371456534, grad_fn=<DivBackward0>)
tensor(0.1363654435, grad_fn=<DivBackward0>)
tensor(0.1369080395, grad_fn=<DivBackward0>)
tensor(0.1362386048, grad_fn=<DivBackward0>)
tensor(0.1373855770, grad_fn=<DivBackward0>)
tensor(0.1363204122, grad_fn=<DivBackward0>)
tensor(0.1358082443, grad_fn=<DivBackward0>)
tensor(0.1374339610, grad_fn=<DivBackward0>)
tensor(0.1377640665, grad_fn=<DivBackward0>)
tensor(0.1374666989, grad_fn=<DivBackward0>)
