tensor(0.2679519355, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1664865911, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1592539847, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1553048193, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1530825347, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1526323557, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1519214362, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506625712, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1508470625, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1506368071, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1509390324, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1511166245, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1488019675, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1495494545, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484888643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1498056650, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1496992856, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483950913, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478824466, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1490043998, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485128552, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1482939571, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1486776173, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483576149, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483863741, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1477292031, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478436291, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1477145106, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483757496, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484215558, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485441476, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1489505023, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1479640305, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483643800, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484920681, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1481072158, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1482217759, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1482535452, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483116895, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1476521194, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1480384916, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1479452103, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1487143040, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1489369720, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1479275227, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485374570, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485008299, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1473807544, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1483150274, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1479727775, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1474452764, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1491752565, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1481895149, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1463182122, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1466781646, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1472042054, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1473632008, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1468200535, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1462630481, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1471090168, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1472690552, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1485623568, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1469624043, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1484052241, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1478745639, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1468320787, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1459758878, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1473878920, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1467096508, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1465426087, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1470505297, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1474367231, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1476052105, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1469720751, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1472430080, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1477573663, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1462384760, device='cuda:0', grad_fn=<DivBackward0>)
