tensor(0.2713506222, grad_fn=<DivBackward0>)
tensor(0.1674654782, grad_fn=<DivBackward0>)
tensor(0.1584706604, grad_fn=<DivBackward0>)
tensor(0.1549870670, grad_fn=<DivBackward0>)
tensor(0.1540074795, grad_fn=<DivBackward0>)
tensor(0.1512527317, grad_fn=<DivBackward0>)
tensor(0.1498016119, grad_fn=<DivBackward0>)
tensor(0.1501977295, grad_fn=<DivBackward0>)
tensor(0.1504694521, grad_fn=<DivBackward0>)
tensor(0.1500171721, grad_fn=<DivBackward0>)
tensor(0.1488921791, grad_fn=<DivBackward0>)
tensor(0.1495593339, grad_fn=<DivBackward0>)
tensor(0.1499833465, grad_fn=<DivBackward0>)
tensor(0.1480152607, grad_fn=<DivBackward0>)
tensor(0.1491206437, grad_fn=<DivBackward0>)
tensor(0.1489823461, grad_fn=<DivBackward0>)
tensor(0.1487860531, grad_fn=<DivBackward0>)
tensor(0.1473145932, grad_fn=<DivBackward0>)
tensor(0.1486877501, grad_fn=<DivBackward0>)
tensor(0.1483830065, grad_fn=<DivBackward0>)
tensor(0.1483623981, grad_fn=<DivBackward0>)
tensor(0.1478535086, grad_fn=<DivBackward0>)
tensor(0.1484431475, grad_fn=<DivBackward0>)
tensor(0.1478624642, grad_fn=<DivBackward0>)
tensor(0.1468433589, grad_fn=<DivBackward0>)
tensor(0.1487893015, grad_fn=<DivBackward0>)
tensor(0.1476095617, grad_fn=<DivBackward0>)
tensor(0.1466776580, grad_fn=<DivBackward0>)
tensor(0.1475578249, grad_fn=<DivBackward0>)
tensor(0.1458099037, grad_fn=<DivBackward0>)
tensor(0.1460843086, grad_fn=<DivBackward0>)
tensor(0.1475092322, grad_fn=<DivBackward0>)
tensor(0.1468013823, grad_fn=<DivBackward0>)
tensor(0.1460898221, grad_fn=<DivBackward0>)
tensor(0.1479852349, grad_fn=<DivBackward0>)
tensor(0.1459575891, grad_fn=<DivBackward0>)
tensor(0.1476549953, grad_fn=<DivBackward0>)
tensor(0.1466831863, grad_fn=<DivBackward0>)
tensor(0.1476351023, grad_fn=<DivBackward0>)
tensor(0.1463489234, grad_fn=<DivBackward0>)
tensor(0.1464515626, grad_fn=<DivBackward0>)
tensor(0.1477272362, grad_fn=<DivBackward0>)
tensor(0.1476038843, grad_fn=<DivBackward0>)
tensor(0.1481539607, grad_fn=<DivBackward0>)
tensor(0.1467548758, grad_fn=<DivBackward0>)
tensor(0.1477168947, grad_fn=<DivBackward0>)
tensor(0.1470234543, grad_fn=<DivBackward0>)
tensor(0.1460890919, grad_fn=<DivBackward0>)
tensor(0.1468546838, grad_fn=<DivBackward0>)
tensor(0.1463360339, grad_fn=<DivBackward0>)
tensor(0.1467320174, grad_fn=<DivBackward0>)
tensor(0.1464654356, grad_fn=<DivBackward0>)
tensor(0.1473202854, grad_fn=<DivBackward0>)
tensor(0.1463741809, grad_fn=<DivBackward0>)
tensor(0.1479988992, grad_fn=<DivBackward0>)
tensor(0.1474415809, grad_fn=<DivBackward0>)
tensor(0.1455861032, grad_fn=<DivBackward0>)
tensor(0.1457846165, grad_fn=<DivBackward0>)
tensor(0.1468512267, grad_fn=<DivBackward0>)
tensor(0.1470502764, grad_fn=<DivBackward0>)
tensor(0.1451956183, grad_fn=<DivBackward0>)
tensor(0.1462871581, grad_fn=<DivBackward0>)
tensor(0.1459485888, grad_fn=<DivBackward0>)
tensor(0.1460645050, grad_fn=<DivBackward0>)
tensor(0.1466473192, grad_fn=<DivBackward0>)
tensor(0.1456441879, grad_fn=<DivBackward0>)
tensor(0.1460381895, grad_fn=<DivBackward0>)
tensor(0.1474506110, grad_fn=<DivBackward0>)
tensor(0.1468734592, grad_fn=<DivBackward0>)
tensor(0.1475204080, grad_fn=<DivBackward0>)
tensor(0.1463637501, grad_fn=<DivBackward0>)
tensor(0.1466320604, grad_fn=<DivBackward0>)
tensor(0.1473548561, grad_fn=<DivBackward0>)
tensor(0.1471190155, grad_fn=<DivBackward0>)
tensor(0.1466202587, grad_fn=<DivBackward0>)
tensor(0.1471350044, grad_fn=<DivBackward0>)
tensor(0.1474417299, grad_fn=<DivBackward0>)
tensor(0.1477194726, grad_fn=<DivBackward0>)
tensor(0.1472792774, grad_fn=<DivBackward0>)
tensor(0.1466094851, grad_fn=<DivBackward0>)
tensor(0.1467735171, grad_fn=<DivBackward0>)
tensor(0.1475922316, grad_fn=<DivBackward0>)
tensor(0.1452178955, grad_fn=<DivBackward0>)
tensor(0.1470738649, grad_fn=<DivBackward0>)
tensor(0.1471954584, grad_fn=<DivBackward0>)
tensor(0.1460660994, grad_fn=<DivBackward0>)
tensor(0.1463339925, grad_fn=<DivBackward0>)
tensor(0.1475767642, grad_fn=<DivBackward0>)
tensor(0.1472198516, grad_fn=<DivBackward0>)
tensor(0.1457841694, grad_fn=<DivBackward0>)
tensor(0.1475256681, grad_fn=<DivBackward0>)
tensor(0.1470443904, grad_fn=<DivBackward0>)
tensor(0.1471193880, grad_fn=<DivBackward0>)
tensor(0.1475716531, grad_fn=<DivBackward0>)
tensor(0.1463727504, grad_fn=<DivBackward0>)
tensor(0.1469399482, grad_fn=<DivBackward0>)
tensor(0.1471466124, grad_fn=<DivBackward0>)
tensor(0.1462649852, grad_fn=<DivBackward0>)
tensor(0.1466078907, grad_fn=<DivBackward0>)
tensor(0.1468300968, grad_fn=<DivBackward0>)
tensor(0.1387554109, grad_fn=<DivBackward0>)
tensor(0.1362108290, grad_fn=<DivBackward0>)
tensor(0.1329005063, grad_fn=<DivBackward0>)
tensor(0.1345849335, grad_fn=<DivBackward0>)
tensor(0.1335966140, grad_fn=<DivBackward0>)
tensor(0.1336933225, grad_fn=<DivBackward0>)
tensor(0.1341447383, grad_fn=<DivBackward0>)
tensor(0.1351000071, grad_fn=<DivBackward0>)
