tensor(0.2647103369, grad_fn=<DivBackward0>)
tensor(0.1657553613, grad_fn=<DivBackward0>)
tensor(0.1587577015, grad_fn=<DivBackward0>)
tensor(0.1562552452, grad_fn=<DivBackward0>)
tensor(0.1549223661, grad_fn=<DivBackward0>)
tensor(0.1534339190, grad_fn=<DivBackward0>)
tensor(0.1530443877, grad_fn=<DivBackward0>)
tensor(0.1524224281, grad_fn=<DivBackward0>)
tensor(0.1520882994, grad_fn=<DivBackward0>)
tensor(0.1524746716, grad_fn=<DivBackward0>)
tensor(0.1525474936, grad_fn=<DivBackward0>)
tensor(0.1508978456, grad_fn=<DivBackward0>)
tensor(0.1509243399, grad_fn=<DivBackward0>)
tensor(0.1512689739, grad_fn=<DivBackward0>)
tensor(0.1507738382, grad_fn=<DivBackward0>)
tensor(0.1506492794, grad_fn=<DivBackward0>)
tensor(0.1499977857, grad_fn=<DivBackward0>)
tensor(0.1497745216, grad_fn=<DivBackward0>)
tensor(0.1502718329, grad_fn=<DivBackward0>)
tensor(0.1501913518, grad_fn=<DivBackward0>)
tensor(0.1508367956, grad_fn=<DivBackward0>)
tensor(0.1499043703, grad_fn=<DivBackward0>)
tensor(0.1505172402, grad_fn=<DivBackward0>)
tensor(0.1501907110, grad_fn=<DivBackward0>)
tensor(0.1502920091, grad_fn=<DivBackward0>)
tensor(0.1495275348, grad_fn=<DivBackward0>)
tensor(0.1493309885, grad_fn=<DivBackward0>)
tensor(0.1491997838, grad_fn=<DivBackward0>)
tensor(0.1496739537, grad_fn=<DivBackward0>)
tensor(0.1494129002, grad_fn=<DivBackward0>)
tensor(0.1492758840, grad_fn=<DivBackward0>)
tensor(0.1496741921, grad_fn=<DivBackward0>)
tensor(0.1497580856, grad_fn=<DivBackward0>)
tensor(0.1495034248, grad_fn=<DivBackward0>)
tensor(0.1488307714, grad_fn=<DivBackward0>)
tensor(0.1489264369, grad_fn=<DivBackward0>)
tensor(0.1485304534, grad_fn=<DivBackward0>)
tensor(0.1489265114, grad_fn=<DivBackward0>)
tensor(0.1496078670, grad_fn=<DivBackward0>)
tensor(0.1492740512, grad_fn=<DivBackward0>)
tensor(0.1491559297, grad_fn=<DivBackward0>)
tensor(0.1508914530, grad_fn=<DivBackward0>)
tensor(0.1501266658, grad_fn=<DivBackward0>)
tensor(0.1488023251, grad_fn=<DivBackward0>)
tensor(0.1483059376, grad_fn=<DivBackward0>)
tensor(0.1486379057, grad_fn=<DivBackward0>)
tensor(0.1494177580, grad_fn=<DivBackward0>)
tensor(0.1491706669, grad_fn=<DivBackward0>)
tensor(0.1485501975, grad_fn=<DivBackward0>)
tensor(0.1497808546, grad_fn=<DivBackward0>)
tensor(0.1478799880, grad_fn=<DivBackward0>)
tensor(0.1494318396, grad_fn=<DivBackward0>)
tensor(0.1502834857, grad_fn=<DivBackward0>)
tensor(0.1492135674, grad_fn=<DivBackward0>)
tensor(0.1485415548, grad_fn=<DivBackward0>)
tensor(0.1476559341, grad_fn=<DivBackward0>)
tensor(0.1484339833, grad_fn=<DivBackward0>)
tensor(0.1486940980, grad_fn=<DivBackward0>)
tensor(0.1479287297, grad_fn=<DivBackward0>)
tensor(0.1483150721, grad_fn=<DivBackward0>)
tensor(0.1477610022, grad_fn=<DivBackward0>)
tensor(0.1493411064, grad_fn=<DivBackward0>)
tensor(0.1487461030, grad_fn=<DivBackward0>)
tensor(0.1481154263, grad_fn=<DivBackward0>)
tensor(0.1482128799, grad_fn=<DivBackward0>)
tensor(0.1476213187, grad_fn=<DivBackward0>)
tensor(0.1476265490, grad_fn=<DivBackward0>)
tensor(0.1477558464, grad_fn=<DivBackward0>)
tensor(0.1485496759, grad_fn=<DivBackward0>)
tensor(0.1485807747, grad_fn=<DivBackward0>)
tensor(0.1483503431, grad_fn=<DivBackward0>)
tensor(0.1479176879, grad_fn=<DivBackward0>)
tensor(0.1481785327, grad_fn=<DivBackward0>)
tensor(0.1482687742, grad_fn=<DivBackward0>)
tensor(0.1474110782, grad_fn=<DivBackward0>)
tensor(0.1482699513, grad_fn=<DivBackward0>)
tensor(0.1479593068, grad_fn=<DivBackward0>)
tensor(0.1477051973, grad_fn=<DivBackward0>)
tensor(0.1485381275, grad_fn=<DivBackward0>)
tensor(0.1487988979, grad_fn=<DivBackward0>)
tensor(0.1471402645, grad_fn=<DivBackward0>)
tensor(0.1497547477, grad_fn=<DivBackward0>)
tensor(0.1485981941, grad_fn=<DivBackward0>)
tensor(0.1479401141, grad_fn=<DivBackward0>)
tensor(0.1482675374, grad_fn=<DivBackward0>)
tensor(0.1479024887, grad_fn=<DivBackward0>)
tensor(0.1473708153, grad_fn=<DivBackward0>)
tensor(0.1473490745, grad_fn=<DivBackward0>)
tensor(0.1473601460, grad_fn=<DivBackward0>)
tensor(0.1468328238, grad_fn=<DivBackward0>)
tensor(0.1480646133, grad_fn=<DivBackward0>)
tensor(0.1488734782, grad_fn=<DivBackward0>)
tensor(0.1478523016, grad_fn=<DivBackward0>)
tensor(0.1475056112, grad_fn=<DivBackward0>)
tensor(0.1491769254, grad_fn=<DivBackward0>)
tensor(0.1473558247, grad_fn=<DivBackward0>)
tensor(0.1472123563, grad_fn=<DivBackward0>)
tensor(0.1483177245, grad_fn=<DivBackward0>)
tensor(0.1488643736, grad_fn=<DivBackward0>)
tensor(0.1485100240, grad_fn=<DivBackward0>)
tensor(0.1400219500, grad_fn=<DivBackward0>)
tensor(0.1377997696, grad_fn=<DivBackward0>)
tensor(0.1358904243, grad_fn=<DivBackward0>)
tensor(0.1357964873, grad_fn=<DivBackward0>)
