tensor(0.5811859369, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4738665521, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4153299630, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.4009884894, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3884727359, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3818412125, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3709413409, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3741349578, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3710484803, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3752917647, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3715206385, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3667779267, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3688027263, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3645614982, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3669044673, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3663016260, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3622826934, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3620023429, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3698388636, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3653184474, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3628265560, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3664875329, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3655932844, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3638042212, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3579557538, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3624271154, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3698378801, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3626684546, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3588177562, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3634486198, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3612425923, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3640235364, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3621890545, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3720560968, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3655490577, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3689895570, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3689656258, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3611488640, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3556476831, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3654096425, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3619950116, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3658969402, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3687808216, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3630770445, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3654512167, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3636893630, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3647907674, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3617733717, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3637873232, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3685058653, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3618597686, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3698787093, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3634572923, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3623641431, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3666683137, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3682225943, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3607539237, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3645348847, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3669377267, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3625525534, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3657104969, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3599659204, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3651131392, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3606657386, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3677773774, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3630031645, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3625836670, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3682612777, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3597935438, device='cuda:1', grad_fn=<DivBackward0>)
