tensor(0.3029189706, grad_fn=<DivBackward0>)
tensor(0.2112787813, grad_fn=<DivBackward0>)
tensor(0.2059025466, grad_fn=<DivBackward0>)
tensor(0.2013567090, grad_fn=<DivBackward0>)
tensor(0.1997204274, grad_fn=<DivBackward0>)
tensor(0.1989839375, grad_fn=<DivBackward0>)
tensor(0.1969141960, grad_fn=<DivBackward0>)
tensor(0.1983176619, grad_fn=<DivBackward0>)
tensor(0.1956058443, grad_fn=<DivBackward0>)
tensor(0.1959203929, grad_fn=<DivBackward0>)
tensor(0.1965734512, grad_fn=<DivBackward0>)
tensor(0.1977672130, grad_fn=<DivBackward0>)
tensor(0.1968651712, grad_fn=<DivBackward0>)
tensor(0.1986988336, grad_fn=<DivBackward0>)
tensor(0.1967669576, grad_fn=<DivBackward0>)
tensor(0.1947455406, grad_fn=<DivBackward0>)
tensor(0.1951537728, grad_fn=<DivBackward0>)
tensor(0.1962174028, grad_fn=<DivBackward0>)
tensor(0.1958316863, grad_fn=<DivBackward0>)
tensor(0.1958793253, grad_fn=<DivBackward0>)
tensor(0.1961313486, grad_fn=<DivBackward0>)
tensor(0.1945206076, grad_fn=<DivBackward0>)
tensor(0.1969277859, grad_fn=<DivBackward0>)
tensor(0.1939729750, grad_fn=<DivBackward0>)
tensor(0.1943375468, grad_fn=<DivBackward0>)
tensor(0.1963709742, grad_fn=<DivBackward0>)
tensor(0.1956276596, grad_fn=<DivBackward0>)
tensor(0.1956052333, grad_fn=<DivBackward0>)
tensor(0.1965614110, grad_fn=<DivBackward0>)
tensor(0.1943329424, grad_fn=<DivBackward0>)
tensor(0.1950671524, grad_fn=<DivBackward0>)
tensor(0.1945146769, grad_fn=<DivBackward0>)
tensor(0.1948540807, grad_fn=<DivBackward0>)
tensor(0.1941435933, grad_fn=<DivBackward0>)
tensor(0.1947955191, grad_fn=<DivBackward0>)
tensor(0.1936553270, grad_fn=<DivBackward0>)
tensor(0.1933438182, grad_fn=<DivBackward0>)
tensor(0.1950724423, grad_fn=<DivBackward0>)
tensor(0.1963031292, grad_fn=<DivBackward0>)
tensor(0.1944920421, grad_fn=<DivBackward0>)
tensor(0.1932778955, grad_fn=<DivBackward0>)
tensor(0.1942807436, grad_fn=<DivBackward0>)
tensor(0.1946817487, grad_fn=<DivBackward0>)
tensor(0.1948302388, grad_fn=<DivBackward0>)
tensor(0.1946723610, grad_fn=<DivBackward0>)
tensor(0.1954711378, grad_fn=<DivBackward0>)
tensor(0.1943303347, grad_fn=<DivBackward0>)
tensor(0.1945835054, grad_fn=<DivBackward0>)
tensor(0.1961285621, grad_fn=<DivBackward0>)
tensor(0.1954522729, grad_fn=<DivBackward0>)
tensor(0.1947914362, grad_fn=<DivBackward0>)
tensor(0.1951550096, grad_fn=<DivBackward0>)
tensor(0.1951990575, grad_fn=<DivBackward0>)
tensor(0.1957515478, grad_fn=<DivBackward0>)
tensor(0.1952573359, grad_fn=<DivBackward0>)
tensor(0.1948231161, grad_fn=<DivBackward0>)
tensor(0.1948491931, grad_fn=<DivBackward0>)
tensor(0.1951172948, grad_fn=<DivBackward0>)
tensor(0.1946839541, grad_fn=<DivBackward0>)
tensor(0.1957762092, grad_fn=<DivBackward0>)
tensor(0.1921360642, grad_fn=<DivBackward0>)
tensor(0.1941224486, grad_fn=<DivBackward0>)
tensor(0.1965269893, grad_fn=<DivBackward0>)
tensor(0.1943100840, grad_fn=<DivBackward0>)
tensor(0.1942841113, grad_fn=<DivBackward0>)
tensor(0.1947539151, grad_fn=<DivBackward0>)
tensor(0.1945062131, grad_fn=<DivBackward0>)
tensor(0.1958065480, grad_fn=<DivBackward0>)
tensor(0.1949206144, grad_fn=<DivBackward0>)
tensor(0.1943769604, grad_fn=<DivBackward0>)
tensor(0.1937507838, grad_fn=<DivBackward0>)
tensor(0.1939427257, grad_fn=<DivBackward0>)
tensor(0.1944936812, grad_fn=<DivBackward0>)
tensor(0.1930964589, grad_fn=<DivBackward0>)
tensor(0.1935417503, grad_fn=<DivBackward0>)
tensor(0.1925026774, grad_fn=<DivBackward0>)
tensor(0.1948690861, grad_fn=<DivBackward0>)
tensor(0.1935651153, grad_fn=<DivBackward0>)
tensor(0.1951293200, grad_fn=<DivBackward0>)
tensor(0.1942231059, grad_fn=<DivBackward0>)
tensor(0.1941770315, grad_fn=<DivBackward0>)
tensor(0.1939066350, grad_fn=<DivBackward0>)
tensor(0.1941627860, grad_fn=<DivBackward0>)
tensor(0.1952540427, grad_fn=<DivBackward0>)
tensor(0.1943856180, grad_fn=<DivBackward0>)
tensor(0.1954737902, grad_fn=<DivBackward0>)
tensor(0.1931502968, grad_fn=<DivBackward0>)
tensor(0.1940402240, grad_fn=<DivBackward0>)
tensor(0.1951226741, grad_fn=<DivBackward0>)
tensor(0.1945405900, grad_fn=<DivBackward0>)
tensor(0.1954523027, grad_fn=<DivBackward0>)
tensor(0.1948139518, grad_fn=<DivBackward0>)
tensor(0.1955567747, grad_fn=<DivBackward0>)
tensor(0.1951145679, grad_fn=<DivBackward0>)
tensor(0.1947091967, grad_fn=<DivBackward0>)
tensor(0.1950541586, grad_fn=<DivBackward0>)
tensor(0.1949596256, grad_fn=<DivBackward0>)
tensor(0.1960120350, grad_fn=<DivBackward0>)
tensor(0.1935486048, grad_fn=<DivBackward0>)
tensor(0.1947831810, grad_fn=<DivBackward0>)
tensor(0.1864967644, grad_fn=<DivBackward0>)
tensor(0.1848648787, grad_fn=<DivBackward0>)
tensor(0.1852884740, grad_fn=<DivBackward0>)
tensor(0.1858760417, grad_fn=<DivBackward0>)
tensor(0.1857755333, grad_fn=<DivBackward0>)
tensor(0.1840498447, grad_fn=<DivBackward0>)
tensor(0.1854074001, grad_fn=<DivBackward0>)
tensor(0.1847801805, grad_fn=<DivBackward0>)
tensor(0.1850770861, grad_fn=<DivBackward0>)
tensor(0.1845323890, grad_fn=<DivBackward0>)
tensor(0.1847826988, grad_fn=<DivBackward0>)
tensor(0.1855338663, grad_fn=<DivBackward0>)
tensor(0.1842553169, grad_fn=<DivBackward0>)
tensor(0.1847104579, grad_fn=<DivBackward0>)
tensor(0.1848246753, grad_fn=<DivBackward0>)
tensor(0.1846604347, grad_fn=<DivBackward0>)
tensor(0.1850334108, grad_fn=<DivBackward0>)
